groupID;featureID;featureID.1;groupID.1;gene;transcript
ENSMUSG00000041453;ENSMUST00000135345;ENSMUST00000135345.2;ENSMUSG00000041453.13;0;5,75E-55
ENSMUSG00000041697;ENSMUST00000040154;ENSMUST00000040154.10;ENSMUSG00000041697.10;0;0
ENSMUSG00000041697;ENSMUST00000137766;ENSMUST00000137766.2;ENSMUSG00000041697.10;0;0
ENSMUSG00000041736;ENSMUST00000047419;ENSMUST00000047419.8;ENSMUSG00000041736.8;0;0
ENSMUSG00000041736;ENSMUST00000208463;ENSMUST00000208463.2;ENSMUSG00000041736.8;0;0
ENSMUSG00000041841;ENSMUST00000226758;ENSMUST00000226758.2;ENSMUSG00000041841.9;0;2,50E-96
ENSMUSG00000041841;ENSMUST00000227463;ENSMUST00000227463.2;ENSMUSG00000041841.9;0;6,68E-07
ENSMUSG00000041841;ENSMUST00000227635;ENSMUST00000227635.2;ENSMUSG00000041841.9;0;1,17E-05
ENSMUSG00000041959;ENSMUST00000045756;ENSMUST00000045756.14;ENSMUSG00000041959.15;0;0
ENSMUSG00000041959;ENSMUST00000170612;ENSMUST00000170612.2;ENSMUSG00000041959.15;0;0
ENSMUSG00000043716;ENSMUST00000058437;ENSMUST00000058437.14;ENSMUSG00000043716.14;0;0
ENSMUSG00000043716;ENSMUST00000140597;ENSMUST00000140597.8;ENSMUSG00000043716.14;0;0
ENSMUSG00000044162;ENSMUST00000204438;ENSMUST00000204438.2;ENSMUSG00000044162.13;0.00488096504022616;0.00167202948979167
ENSMUSG00000044162;ENSMUST00000212402;ENSMUST00000212402.2;ENSMUSG00000044162.13;0.00488096504022616;0.00552463513089597
ENSMUSG00000044533;ENSMUST00000054289;ENSMUST00000054289.13;ENSMUSG00000044533.16;0;8,70E+01
ENSMUSG00000044533;ENSMUST00000129580;ENSMUST00000129580.2;ENSMUSG00000044533.16;0;6,35E-62
ENSMUSG00000044533;ENSMUST00000132803;ENSMUST00000132803.2;ENSMUSG00000044533.16;0;1,26E-86
ENSMUSG00000044533;ENSMUST00000170715;ENSMUST00000170715.8;ENSMUSG00000044533.16;0;0.00580131765759964
ENSMUSG00000044583;ENSMUST00000060719;ENSMUST00000060719.12;ENSMUSG00000044583.14;8,44E+07;0
ENSMUSG00000044583;ENSMUST00000112161;ENSMUST00000112161.8;ENSMUSG00000044583.14;8,44E+07;0
ENSMUSG00000045128;ENSMUST00000212019;ENSMUST00000212019.2;ENSMUSG00000045128.10;0;1,53E-99
ENSMUSG00000045128;ENSMUST00000212129;ENSMUST00000212129.2;ENSMUSG00000045128.10;0;2,10E+09
ENSMUSG00000046688;ENSMUST00000054483;ENSMUST00000054483.14;ENSMUSG00000046688.15;0.015617885814103;0
ENSMUSG00000046688;ENSMUST00000171621;ENSMUST00000171621.3;ENSMUSG00000046688.15;0.015617885814103;0
ENSMUSG00000046711;ENSMUST00000231874;ENSMUST00000231874.2;ENSMUSG00000046711.17;0.0294377886784544;0.0108883101011799
ENSMUSG00000047215;ENSMUST00000057885;ENSMUST00000057885.13;ENSMUSG00000047215.15;0;2,93E-110
ENSMUSG00000047215;ENSMUST00000150815;ENSMUST00000150815.6;ENSMUSG00000047215.15;0;2,28E-44
